key,amount,timestamp,category
hot_key_0,4393.002339184622,2026-03-31T16:45:27.861+08:00,premium
hot_key_0,9905.489507534854,2026-03-31T16:45:27.861+08:00,premium
hot_key_0,8067.8706882247825,2026-03-31T16:45:27.861+08:00,premium
hot_key_1,4033.495423067559,2026-03-31T16:45:27.861+08:00,premium
hot_key_1,9577.83198936548,2026-03-31T16:45:27.861+08:00,premium
hot_key_1,4226.049044037094,2026-03-31T16:45:27.861+08:00,premium
hot_key_2,1684.0202590105118,2026-03-31T16:45:27.861+08:00,premium
hot_key_2,7827.916941676967,2026-03-31T16:45:27.861+08:00,premium
hot_key_2,8679.695766909088,2026-03-31T16:45:27.861+08:00,premium
normal_key_0,126.25627677776718,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,900.2140477824066,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,971.0778029939329,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,929.5855071027314,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,468.7714519006502,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,799.3874137145469,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,899.0041806032184,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,175.78951612012986,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,729.8654744294286,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,445.49064519504674,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,244.9477382822879,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,769.9384725168405,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,975.0678276703202,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,630.3038610966099,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,288.4339202514393,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,110.97236532092295,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,615.2452071521794,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,737.00358983096,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,369.2120097923311,2026-03-31T16:45:27.861+08:00,standard
normal_key_0,579.2748923593589,2026-03-31T16:45:27.861+08:00,standard
normal_key_1,621.6612696442644,2026-03-31T16:45:27.861+08:00,standard
normal_key_1,130.06722599401934,2026-03-31T16:45:27.861+08:00,standard
normal_key_1,339.61170530635263,2026-03-31T16:45:27.861+08:00,standard
normal_key_1,845.735524748082,2026-03-31T16:45:27.861+08:00,standard
normal_key_1,386.69809640899297,2026-03-31T16:45:27.861+08:00,standard
